Y,X1,X2,X3
3100680,290,18,594
202286700,660,441,695
95283216,432,389,567
582524800,836,800,871
2360832,424,96,58
220596830,977,670,337
1214704,79,496,31
59550876,231,462,558
138623695,401,581,595
77245910,443,235,742
66620736,364,246,744
101170944,738,238,576
34181488,148,724,319
88757046,249,414,861
61232220,835,252,291
88178132,724,889,137
7796250,875,594,15
124099200,556,992,225
141123732,853,204,811
9802854,333,359,82
6009660,359,18,930
703704,218,807,4
141203139,877,561,287
47801064,951,488,103
3173040,26,565,216
601263,27,571,39
33237624,301,516,214
3056082,118,267,97
7281287,13,799,701
21148960,821,736,35
53935200,720,110,681
18916580,697,230,118
427316450,803,734,725
201067020,489,979,420
55191708,852,151,429
11635608,856,197,69
107408000,700,280,548
82560000,320,750,344
9566425,809,215,55
89949597,933,229,421
132334384,728,194,937
347581920,868,564,710
87980424,964,742,123
47715800,920,451,115
85282338,698,293,417
226539600,745,336,905
5917578,411,626,23
17641800,675,88,297
106781556,148,731,987
499053150,675,827,894
95680060,553,410,422
438871440,804,980,557
434234112,713,768,793
30623579,833,379,97
360570873,661,923,591
67189500,945,150,474
21247380,693,292,105
54213600,922,168,350
389004,421,132,7
59181696,123,896,537
6486144,399,128,127
9302160,339,392,70
10132122,147,482,143
118371720,515,314,732
657297520,829,880,901
12468376,964,29,446
25449784,127,296,677
217675040,734,674,440
47906144,494,176,551
44119080,765,356,162
572318832,932,701,876
846560,481,110,16
7747792,193,52,772
9404792,647,46,316
218177793,927,379,621
48276124,221,563,388
270314436,721,597,628
551051880,860,807,794
101006721,603,191,877
173452851,429,921,439
3224858,13,754,329
93837848,328,373,767
302072526,798,551,687
482468805,689,945,741
28279440,126,905,248
38715885,663,255,229
16893588,446,107,354
89735360,704,689,185
100078704,264,943,402
118370400,740,645,248
348830940,998,573,610
11713200,454,516,50
7444164,802,26,357
15010816,274,256,214
16627736,787,278,76
104624800,833,314,400
36665465,179,355,577
26815650,97,475,582
157601934,782,457,441
257539200,772,834,400
96101544,532,231,782
432059400,775,712,783
31257495,135,339,683
324877644,819,434,914
132633072,988,678,198
291174865,985,607,487
39621696,796,102,488
230221575,619,435,855
227958159,403,671,843
536299725,975,977,563
347526120,618,907,620
45617152,592,256,301
118435352,701,196,862
104559840,368,693,410
5221314,727,14,513
62503434,777,109,738
119403966,498,307,781
111316572,356,333,939
100098768,511,924,212
110089980,517,338,630
188737808,952,238,833
363177360,420,964,897
322230402,611,747,706
34621538,49,881,802
5591160,155,501,72
302775900,860,479,735
3954108,97,172,237
422112600,546,900,859
80858280,534,335,452
15534680,509,56,545
60886080,435,486,288
71085525,609,725,161
6335784,52,126,967
151710652,527,316,911
116556885,335,603,577
214513842,839,991,258
45686004,714,107,598
4170144,32,359,363
3913728,273,128,112
60689664,848,213,336
45221400,970,126,370
12759894,483,102,259
459417546,738,791,787
106803032,362,514,574
60661510,182,445,749
306541280,680,898,502
85710795,331,849,305
279258048,969,456,632
222167520,530,639,656
146599930,709,290,713
121391424,644,693,272
396208701,687,947,609
409168480,848,791,610
29043586,173,587,286
148436884,458,934,347
25452800,800,164,194
11128320,32,690,504
5058900,300,33,511
65365257,349,447,419
287334380,332,895,967
100698456,948,346,307
5759600,385,85,176
17633600,80,412,535
355740000,660,550,980
147237800,788,202,925
22070760,349,170,372
349512267,543,739,871
23669712,136,297,586
35982400,172,523,400
150814160,487,316,980
289037056,946,704,434
93441600,864,206,525
453840,915,4,124
7314624,83,136,648
2093616,126,248,67
157424620,751,446,470
148042242,633,426,549
28580544,354,96,841
85084090,245,703,494
31040210,235,422,313
2470650,362,25,273
220877085,507,445,979
258581504,677,746,512
271260704,634,884,484
260702,962,271,1
54383400,81,746,900
180946804,716,893,283
15802332,998,203,78
312634080,680,516,891
150175452,916,633,259
1461600,145,84,120
5301504,118,208,216
130110624,213,707,864
1998150,330,35,173
107310390,751,433,330
45890152,82,869,644
236067832,719,533,616
13920876,821,18,942
174275955,279,945,661
603657432,786,892,861
159495,217,49,15
1724706,18,779,123
2831430,970,7,417
26195400,243,196,550
23279256,63,442,836
2150408,13,667,248
601223859,893,939,717
218696296,431,574,884
368340,877,60,7
46143300,365,602,210
18068688,732,561,44
424365720,830,933,548
3086265,741,5,833
41050240,392,476,220
394284240,534,840,879
141362496,999,268,528
55634370,633,799,110
276642500,926,625,478
192273536,364,544,971
426086232,871,872,561
155984710,395,842,469
41329890,454,357,255
34398432,736,81,577
339866604,891,399,956
170136450,670,855,297
11707960,440,451,59
10280886,17,847,714
89770512,293,312,982
44829648,743,419,144
60166350,681,190,465
36490800,75,752,647
29470308,398,129,574
38401895,277,233,595
124523100,367,725,468
7911800,13,716,850
114341148,843,508,267
53724008,377,379,376
493411655,935,587,899
144980010,711,210,971
75463920,245,621,496
11881110,257,138,335
3633135,227,33,485
2606040,228,635,18
87175840,970,328,274
235957920,870,737,368
278967780,735,811,468
108018932,601,686,262
15325632,362,96,441
97760064,982,102,976
342337170,839,938,435
205864620,958,741,290
82864782,147,949,594
9979200,432,154,150
350036496,981,464,769
33167706,559,93,638
17385030,127,162,845
487397820,884,885,623
19448880,53,417,880
282098232,559,978,516
118556640,204,870,668
141105360,660,946,226
231360000,625,964,384
7360,1,46,160
344029952,896,491,782
154122870,418,523,705
128263065,519,805,307
131918976,861,336,456
31630056,327,904,107
19909026,159,509,246
81927450,198,613,675
4713660,387,145,84
20159550,274,75,981
14658786,774,107,177
335451996,902,582,639
31590300,614,343,150
126378288,696,571,318
80693496,837,468,206
27995968,644,52,836
225869545,667,655,517
2260500,274,10,825
119982400,820,295,496
98177724,444,311,711
18099886,29,818,763
103400000,625,320,517
15033760,866,40,434
180651384,837,782,276
98622612,127,954,814
470856000,960,575,853
75347200,193,488,800
50845824,606,912,92
17342952,66,367,716
100011000,200,901,555
5832960,217,128,210
16441840,760,746,29
14641000,605,121,200
105757680,490,276,782
406130130,786,777,665
261840656,566,751,616
935714,34,949,29
10077912,78,444,291
177692500,625,452,629
25170462,173,177,822
15802560,90,354,496
106974693,171,833,751
377389770,755,734,681
569820621,681,893,937
41293161,127,397,819
141163512,391,588,614
20952100,454,65,710
2001105,81,27,915
98823300,725,921,148
3539769,69,61,841
58215081,283,359,573
210258060,402,965,542
137570400,792,772,225
9131911,421,199,109
779220,10,702,111
245472360,588,545,766
76120431,659,139,831
149967948,586,442,579
119902200,925,264,491
333302800,487,725,944
25326570,129,677,290
41668065,951,381,115
187785000,900,390,535
392564656,961,968,422
10447395,73,235,609
29026179,793,441,83
7935648,56,294,482
15959328,254,528,119
219762621,939,353,663
15285204,33,484,957
100867200,553,475,384
334356540,885,412,917
89540400,620,996,145
262275808,773,922,368
338855000,625,671,808
295393600,529,698,800
184339254,411,638,703
61731290,139,998,445
14856960,876,53,320
151748480,676,976,230
53898372,781,324,213
94529894,922,629,163
19021100,937,140,145
54468288,316,189,912
197391285,315,817,767
235411484,959,308,797
123605925,683,635,285
95857528,296,377,859
22051020,580,69,551
447002930,935,547,874
31879454,61,809,646
19848588,653,298,102
142121952,746,432,441
184081248,864,607,351
513005940,615,846,986
35030490,453,407,190
22059900,386,150,381
316877400,505,840,747
214532214,578,403,921
4298670,183,810,29
175987000,217,1000,811
89455788,148,717,843
175870764,267,963,684
63303768,166,428,891
15889776,114,152,917
2519040,768,80,41
427252592,734,754,772
250363794,697,914,393
19447512,294,719,92
133069131,767,333,521
38517750,323,150,795
102498627,187,607,903
387788592,944,919,447
175532224,448,839,467
13977752,86,716,227
51991104,528,239,412
342275310,534,741,865
4513080,195,88,263
64602000,144,485,925
27805536,198,536,262
195520176,998,907,216
15706460,47,490,682
34177660,638,55,974
63868464,176,661,549
106728720,707,170,888
30779520,782,320,123
4136192,256,151,107
298846800,804,900,413
35519715,67,595,891
26061464,836,218,143
58397312,136,571,752
38033152,436,188,464
91057392,123,848,873
18345600,98,520,360
497873948,793,751,836
653928522,998,689,951
17169792,244,96,733
6249822,57,751,146
24604008,321,536,143
11944920,403,30,988
42143670,723,290,201
2270120,206,19,580
1347294,751,598,3
4344840,12,486,745
80905230,270,399,751
17527328,112,338,463
239811924,548,447,979
248350824,969,472,543
23424735,929,615,41
37628000,409,184,500
345508130,695,766,649
1675648,106,247,64
77265552,294,532,494
130552881,281,617,753
441625800,869,924,550
130985000,335,782,500
144867690,687,355,594
244080096,514,624,761
809248,209,242,16
45732550,622,865,85
165412936,863,388,494
18322304,676,44,616
600143508,927,908,713
1389696,924,4,376
45671520,255,193,928
67385604,107,734,858
61771584,177,656,532
15977400,124,150,859
10823050,107,289,350
112891872,267,724,584
583396540,718,842,965
40917450,293,190,735
81390400,602,338,400
11919501,99,201,599
326909400,582,685,820
49729920,59,878,960
7411320,865,357,24
32127732,637,54,934
8093240,115,463,152
224182926,431,814,639
24483936,244,111,904
185236480,715,736,352
128282000,784,275,595
34318725,75,917,499
81090264,443,696,263
7857927,493,63,253
7691352,228,334,101
5420100,145,178,210
298999532,949,332,949
9045760,185,764,64
27392508,306,286,313
28073241,171,499,329
51915620,901,86,670
52901860,970,407,134
188852048,781,254,952
1517080,23,68,970
44297388,279,303,524
45383625,565,425,189
79779840,896,280,318
57646320,398,204,710
36764928,288,216,591
11340513,51,797,279
304329792,664,676,678
149688279,611,489,501
147093650,275,902,593
163849230,459,489,730
100838080,224,590,763
83994988,253,994,334
67906188,162,758,553
108662400,288,550,686
156278171,821,383,497
980616,7,156,898
75600768,272,939,296
2076815,445,13,359
130447980,521,780,321
5797494,18,453,711
13408200,195,360,191
433440,28,90,172
229020750,925,393,630
28138080,155,248,732
18598195,55,469,721
143332200,513,550,508
20727252,999,156,133
146958692,193,932,817
206831856,924,428,523
542589280,787,992,695
4710048,172,326,84
247192638,541,483,946
241540848,932,939,276
127758642,458,321,869
49522414,379,827,158
111332880,648,414,415
22422920,676,310,107
79833600,600,198,672
168407748,837,414,486
61308000,393,250,624
45906413,133,349,989
212172800,800,448,592
410548544,581,976,724
37979694,246,971,159
80257156,469,956,179
45567720,311,666,220
421986804,879,934,514
73646820,169,810,538
105733782,431,531,462
396014150,775,791,646
241529904,848,411,693
526206780,990,579,918
486004176,996,942,518
16517970,126,835,157
87290021,581,889,169
14429038,481,106,283
104891940,615,233,732
155161440,441,733,480
106102799,803,577,229
79455672,687,732,158
28196608,992,209,136
4069260,148,39,705
81395820,426,495,386
15528240,728,54,395
543794781,857,823,771
64863656,806,124,649
42619560,145,662,444
287496,33,99,88
444912780,663,890,754
458425440,877,594,880
4753980,110,63,686
296495836,997,602,494
18243900,54,466,725
571794480,831,976,705
4146560,304,110,124
11455236,82,597,234
12246364,923,124,107
134640,8,33,510
1714790,935,14,131
28290660,355,87,916
42925560,804,562,95
56044560,710,506,156
4404088,47,424,221
29755370,67,998,445
46050048,711,256,253
12155520,320,487,78
49203180,86,978,585
8998500,60,175,857
31884300,945,964,35
116225820,636,279,655
25274240,505,368,136
64669768,116,863,646
224991130,571,433,910
14751360,936,20,788
13588848,136,183,546
286628814,681,603,698
8513472,64,417,319
385223790,967,542,735
21398250,277,103,750
815662484,853,962,994
33022125,125,591,447
262568460,706,483,770
34575864,788,142,309
21100740,255,274,302
357527460,834,815,526
4518612,189,86,278
152047434,462,349,943
214806913,631,361,943
168048672,407,528,782
40827744,272,558,269
40211230,955,569,74
34464240,634,120,453
780098475,975,989,809
441165420,908,531,915
8755254,47,393,474
155611973,883,433,407
57149016,444,926,139
9339330,715,933,14
125825136,964,149,876
200004888,492,439,926
7216000,220,328,100
1073100,35,365,84
102128268,947,228,473
14379200,760,110,172
25708180,106,395,614
2480560,202,307,40
29656530,846,615,57
88312380,190,606,767
15730470,406,861,45
98106000,250,591,664
25648920,381,440,153
28181790,378,403,185
65181842,794,187,439
510975325,719,917,775
234639720,492,757,630
10154670,183,155,358
2764842,307,57,158
89416548,507,852,207
73192329,441,243,683
705298112,992,821,866
14015970,111,183,690
449458404,922,678,719
27125280,144,234,805
14236992,704,27,749
24249452,667,149,244
1250175,237,25,211
31992786,49,963,678
7644780,45,396,429
35612356,169,758,278
216132,93,28,83
208216008,963,756,286
534935600,680,811,970
68528160,547,216,580
65537132,332,643,307
4308352,694,32,194
7564500,125,164,369
36690577,809,77,589
28879290,310,941,99
22423512,618,94,386
60076676,226,281,946
349800,795,5,88
277992540,586,502,945
6827690,365,199,94
311573904,564,668,827
221499216,372,708,841
11855565,81,365,401
106553412,252,773,547
58447980,270,662,327
33519384,213,996,158
11359080,681,556,30
190085840,280,974,697
11203650,90,193,645
118700790,965,741,166
474276693,629,803,939
396157350,790,993,505
361594310,469,946,815
24149664,968,594,42
13321232,368,683,53
48824134,254,211,911
729903715,985,817,907
87224889,541,223,723
72864100,470,370,419
545266750,950,713,805
53683455,379,665,213
87111648,878,477,208
23578950,573,823,50
24565376,239,352,292
250522272,792,553,572
68145944,818,353,236
31054227,617,883,57
426438060,508,879,955
17230668,509,42,806
11920896,96,597,208
143843970,470,867,353
60453288,228,413,642
97600910,451,323,670
17335330,565,667,46
50825610,545,198,471
236201208,723,388,842
608310,6,135,751
2762714,23,218,551
47259520,320,274,539
14718888,747,24,821
3644586,33,474,233
38971971,639,859,71
21954996,771,252,113
94787580,402,323,730
10669912,74,452,319
44431018,167,274,971
56812020,326,942,185
25499320,770,974,34
554191247,899,733,841
59899500,255,783,300
141918030,745,557,342
232618704,681,592,577
76674862,187,467,878
513126236,908,607,931
399924,7,529,108
62803520,130,487,992
5514852,249,791,28
430027542,777,831,666
4541652,68,543,123
165051404,943,266,658
36897440,155,346,688
355402391,571,893,697
35908796,137,814,322
85105944,792,119,903
53816064,887,96,632
363937210,970,589,637
384558720,744,560,923
152991761,689,953,233
397279322,946,437,961
22538944,376,254,236
1884280,34,652,85
51145248,204,484,518
30357171,897,389,87
104589280,368,586,485
51578820,164,435,723
22361250,89,625,402
75696000,480,830,190
353460352,406,892,976
18255314,734,133,187
9380800,286,164,200
293170410,806,885,411
11226540,15,962,778
54633040,905,392,154
1217835,93,45,291
4336080,145,112,267
278986960,820,406,838
239853732,857,281,996
302476300,526,742,775
42204680,353,244,490
93037356,582,166,963
15581344,139,992,113
22219450,569,550,71
1262592,24,274,192
48717760,239,392,520
189109200,479,705,560
4574388,413,71,156
3516240,23,245,624
35207975,605,113,515
186594120,488,879,435
103504548,318,347,938
38613861,143,657,411
91990722,653,886,159
9069888,96,97,974
47717188,922,458,113
294204960,940,322,972
177120,240,41,18
361126084,974,887,418
266384160,966,766,360
233883468,987,637,372
193791850,742,337,775
139764922,242,641,901
100612974,371,587,462
151992855,483,555,567
108240000,205,750,704
27591500,125,397,556
110004750,379,450,645
62052750,317,290,675
11915820,245,772,63
33697650,958,525,67
1874160,18,760,137
10635104,172,524,118
360000,12,48,625
28392156,78,589,618
1846800,108,75,228
28863744,546,944,56
13417748,479,94,298
85746700,650,142,929
469929600,888,980,540
141979068,972,539,271
11193072,187,86,696
18175584,344,222,238
35045472,431,672,121
5028100,140,55,653
469178633,989,671,707
187519800,975,829,232
275197500,405,906,750
82813248,658,828,152
53539200,143,800,468
150430005,905,253,657
15617280,664,480,49
199963434,913,633,346
206070872,578,476,749
49050,654,5,15
59376408,182,877,372
87663576,364,902,267
37193416,221,872,193
119759920,446,980,274
22930416,646,348,102
158077120,536,404,730
50256726,221,502,453
31255000,200,475,329
55650720,480,431,269
43365498,834,319,163
1925136,464,461,9
166128080,799,452,460
740918018,821,919,982
80262720,248,465,696
86881680,855,464,219
6277520,524,599,20
77520,16,51,95
23213124,121,876,219
57456252,201,574,498
28322000,245,272,425
433504000,800,920,589
11023497,153,661,109
90452834,866,701,149
461862639,573,879,917
78212272,181,904,478
159497480,878,310,586
355808250,950,861,435
26929700,85,868,365
358487124,941,636,599
10380608,329,928,34
394201080,764,585,882
1640432,148,17,652
586278000,924,750,846
120030638,674,247,721
228603661,949,359,671
20465208,173,248,477
11061528,87,184,691
136326278,898,407,373
55497130,403,293,470
382930310,614,865,721
38940354,111,354,991
572319450,711,850,947
845600,112,755,10
57014685,663,135,637
122528910,931,642,205
35153566,217,214,757
120750,125,138,7
85635800,680,283,445
2936059,691,607,7
52928700,473,373,300
134959090,254,799,665
43880060,119,716,515
22804845,57,805,497
66914680,677,280,353
62573056,224,442,632
12021312,508,464,51
254649720,683,478,780
236185599,379,841,741
161616462,727,938,237
273560712,529,743,696
10650640,143,98,760
639392,16,689,58
44913249,633,201,353
178746552,802,906,246
112743720,456,311,795
138515220,411,820,411
67631625,261,375,691
66314580,930,101,706
188625970,845,239,934
90224640,198,640,712
115448040,584,207,955
57952320,67,960,901
194904099,981,493,403
20272740,610,191,174
241971840,627,804,480
5272014,759,151,46
15794064,132,177,676
3515600,47,187,400
47975280,122,565,696
109228878,726,657,229
113143128,786,371,388
65988,108,1,611
255856020,310,914,903
2112000,24,1000,88
7518400,370,32,635
118592856,178,796,837
32838240,215,258,592
56725515,85,749,891
189816000,352,750,719
1293824,112,152,76
250857056,848,422,701
123385724,379,604,539
41902380,381,156,705
195000120,630,892,347
330312140,995,557,596
50829728,272,223,838
182687778,441,611,678
469524654,774,883,687
177284,47,4,943
146595852,541,386,702
960630,30,781,41
54421500,426,175,730
205954056,406,924,549
48259296,67,738,976
15450030,53,369,790
70210800,275,591,432
13665722,238,67,857
13419252,282,154,309
1623600,2,820,990
178379280,720,921,269
145099542,798,521,349
15362304,482,664,48
161130593,767,421,499
86741280,270,388,828
352353120,588,844,710
135155706,581,411,566
145326440,590,463,532
282443436,594,817,582
715530,115,183,34
196042946,814,527,457
24058608,84,386,742
513994914,846,751,809
8800605,773,115,99
515614500,769,900,745
173825904,813,581,368
55846980,349,630,254
42922044,198,566,383
11307375,529,57,375
12235392,576,494,43
39874310,355,226,497
232342614,951,831,294
62441280,96,803,810
6625630,134,55,899
3802206,194,47,417
62227455,849,535,137
5566428,398,21,666
103734738,414,757,331
1565550,355,63,70
172226576,713,974,248
77171670,621,731,170
82156935,305,381,707
39379200,293,400,336
9606400,632,19,800
109332305,755,179,809
206997700,644,989,325
16165604,52,499,623
17589000,100,533,330
17198160,232,706,105
9573750,75,555,230
211532700,475,708,629
399880800,605,864,765
17457960,361,65,744
10048224,17,786,752
53284865,269,229,865
685248,498,344,4
3874878,459,9,938
301767708,822,451,814
36829242,387,153,622
80777880,335,394,612
3861000,24,715,225
291088860,654,470,947
4032555,205,249,79
218938032,738,564,526
255492630,347,810,909
238418334,682,651,537
4347000,200,189,115
1023596,7,526,278
149112670,743,854,235
248118822,303,938,873
237793942,739,922,349
17804580,645,103,268
80597688,291,778,356
9826650,145,270,251
138987024,841,528,313
40026468,582,137,502
175693368,986,479,372
57191976,776,171,431
60654824,566,734,146
282234190,785,842,427
298072656,378,818,964
7334400,40,192,955
21048930,222,301,315
332765007,753,457,967
141011584,337,467,896
484704000,990,960,510
61051320,810,571,132
9990000,500,222,90
56567160,711,680,117
122134500,747,436,375
820420,95,17,508
34130250,394,495,175
684609894,801,922,927
2685220,620,61,71
26821179,679,399,99
243072435,535,807,563
4485086,758,61,97
213342528,724,877,336
45425478,417,251,434
2444960,259,472,20
41130788,878,794,59
18295192,59,467,664
101377188,222,629,726
176413500,985,199,900
126723916,748,887,191
64986960,732,230,386
222929432,682,782,418
1274721,3,601,707
3804528,182,804,26
1579200,12,400,329
432141606,831,767,678
10641240,501,60,354
49558080,247,456,440
31828082,151,242,871
26674480,280,437,218
168276816,906,436,426
390938604,794,798,617
417422808,628,891,746
34701156,932,197,189
9065006,178,401,127
306602072,476,886,727
243345843,927,381,689
243013888,548,676,656
507988860,753,758,890
90859860,819,645,172
239429070,859,978,285
448309400,677,946,700
306479232,774,736,538
104937770,326,595,541
203859936,911,296,756
1852864,131,544,26
30762540,62,745,666
99347504,472,382,551
922960,695,4,332
14609056,847,22,784
16855280,190,104,853
114110820,641,215,828
55961500,875,236,271
34455476,121,554,514
11263520,40,697,404
38499456,128,321,937
64513776,408,173,914
221594200,347,775,824
58960603,487,871,139
266351580,660,697,579
46843125,875,129,415
88947564,773,172,669
158226060,789,370,542
12277488,74,223,744
520771461,749,791,879
16117740,593,90,302
772220070,963,890,901
43925140,349,580,217
47663084,322,763,194
113274888,376,411,733
125714160,962,270,484
3054051,339,21,429
68404674,303,457,494
341748352,692,506,976
71747250,542,353,375
14994504,564,126,211
60667420,514,814,145
163168530,245,942,707
464310180,773,710,846
44394189,699,301,211
488975256,712,991,693
147852600,940,642,245
18802040,230,107,764
38608320,80,524,921
71947680,133,735,736
585489036,939,814,766
54999000,280,405,485
184304560,604,730,418
110170904,934,797,148
55631040,480,694,167
48580596,279,404,431
76982472,687,138,812
62116320,245,417,608
1564500,28,447,125
2484000,432,125,46
82477010,473,329,530
5603312,158,62,572
85665960,282,498,610
20900268,257,753,108
26613912,78,866,394
776832,714,64,17
29469825,243,245,495
79342740,540,731,201
1042720,343,8,380
519753360,760,798,857
1174624,16,781,94
66264,3,502,44
